regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
stationary,101,Cold,Cold,0.869712044618256,0.5097120446182559,1.2,0.0,0.869712044618256,0.0,1.0,0.078125,0.42059598511902213,102.0,112.66666666666667,7.365803043008782
stationary,101,Param,Parameter Transfer,1.3962668550214872,0.6762668550214872,2.4,0.0,1.3962668550214872,-0.5265548104032312,1.0,0.03125,0.4662693799627095,102.0,112.66666666666667,7.0670212500263005
stationary,101,State,State Warm Start,0.15711018025563694,0.09711018025563693,0.2,0.0,0.15711018025563694,0.7126018643626191,1.0,0.421875,0.1421192540550801,102.0,112.66666666666667,7.0345107929897495
stationary,101,Combined,Combined,0.15711018025563694,0.09711018025563693,0.2,0.0,0.15711018025563694,0.7126018643626191,1.0,0.6041666666666666,0.0746305256033928,102.0,112.66666666666667,7.017021416919306
gradual,201,Cold,Cold,1.5161758420211733,0.8561758420211735,2.2,0.0,1.5161758420211733,0.0,1.0,0.203125,0.4828709408108687,104.0,112.16666666666667,7.3522280000615865
gradual,201,Param,Parameter Transfer,1.193627278162201,0.6536272781622012,1.8,0.0,1.193627278162201,0.32254856385897224,1.0,0.203125,0.42967891601924607,104.0,112.16666666666667,7.081024165963754
gradual,201,State,State Warm Start,0.9702538094205405,0.8502538094205405,0.4,0.0,0.9702538094205405,0.5459220326006328,1.0,0.78125,0.18035562244594297,104.0,111.5,7.033053124090657
gradual,201,Combined,Combined,1.015344980415957,1.015344980415957,0.0,0.0,1.015344980415957,0.5008308616052162,1.0,0.9791666666666666,0.17288228754955623,104.0,111.5,7.0201943320571445
sudden,304,Cold,Cold,1.2632676952108661,0.36326769521086627,3.0000000000000004,0.13650813456840546,1.1267595606424607,0.0,1.0,0.3489583333333333,0.41391091156041226,101.0,111.0,6.98364141699858
sudden,304,Param,Parameter Transfer,1.3983579761884506,0.6183579761884508,2.6,0.13650813456840546,1.2618498416200452,-0.13509028097758446,1.0,0.2760416666666667,0.4353736361784369,101.0,111.0,6.7800000421120785
sudden,304,State,State Warm Start,0.32931754310026895,0.20931754310026895,0.4,0.13650813456840546,0.19280940853186349,0.9339501521105972,1.0,0.4635416666666667,0.1712225699879307,101.0,110.66666666666667,7.062057668110356
sudden,304,Combined,Combined,0.6381076338572409,0.6381076338572409,0.0,0.13650813456840546,0.5015994992888354,0.6251600613536252,1.0,0.8020833333333334,0.16119407643613665,101.0,110.66666666666667,6.842044625082053
continuous_sudden,401,Cold,Cold,1.295852209680608,0.7558522096806081,1.7999999999999998,0.13754783547653995,1.158304374204068,0.0,1.0,0.3177083333333333,0.4404195314255063,92.0,105.5,6.9121399580617435
continuous_sudden,401,Param,Parameter Transfer,1.012686114253882,0.3526861142538822,2.2,0.13754783547653995,0.8751382787773422,0.2831660954267259,1.0,0.140625,0.4094229835040845,92.0,105.5,6.662379500921816
continuous_sudden,401,State,State Warm Start,0.41233053980649925,0.29233053980649926,0.4,0.13754783547653995,0.2747827043299593,0.8835216698741087,1.0,0.5885416666666666,0.18950630774254007,92.0,105.83333333333333,7.014192668022588
continuous_sudden,401,Combined,Combined,0.41233053980649925,0.29233053980649926,0.4,0.13754783547653995,0.2747827043299593,0.8835216698741087,1.0,0.4114583333333333,0.22097255824230722,92.0,105.83333333333333,6.876588499988429
