regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
stationary,101,Cold,Cold,1.0790139791606073,0.5390139791606072,1.8,0.0,1.0790139791606073,0.0,1.0,0.09375,0.43832527105260105,102.0,112.66666666666667,15.074353956966661
stationary,101,Param,Parameter Transfer,0.6674650064942319,0.30746500649423186,1.2,0.0,0.6674650064942319,0.41154897266637536,1.0,0.0859375,0.4619537416748675,102.0,112.66666666666667,14.75239291600883
stationary,101,State,State Warm Start,0.0,0.0,0.0,0.0,0.0,1.0790139791606073,1.0,0.76953125,0.06976718915831247,102.0,112.91666666666667,14.976093958015554
stationary,101,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.0790139791606073,1.0,0.8896484375,0.02449423872834619,102.0,112.91666666666667,14.756924332061317
gradual,201,Cold,Cold,1.3038537085798756,0.5238537085798758,2.6000000000000005,0.18792755652072324,1.1159261520591524,0.0,1.0,0.007486979166666667,0.45136153608910173,107.0,112.0,14.78435033390997
gradual,201,Param,Parameter Transfer,0.6079275565207232,0.18792755652072324,1.4,0.18792755652072324,0.41999999999999993,0.6959261520591524,1.0,0.016927083333333332,0.4581849234824719,107.0,112.0,14.34281145996647
gradual,201,State,State Warm Start,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.1159261520591524,1.0,0.7626953125,0.07514775226352326,107.0,112.41666666666667,14.329167831980158
gradual,201,Combined,Combined,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.1159261520591524,1.0,0.7262369791666666,0.08297817272594897,107.0,112.41666666666667,14.246728167054243
sudden,304,Cold,Cold,2.111292192315603,1.0912921923156031,3.4,0.8526082940042281,1.258683898311375,0.0,1.0,0.09147135416666667,0.4556313738476418,106.0,110.91666666666667,14.267486835073214
sudden,304,Param,Parameter Transfer,1.8659858851546878,1.0259858851546877,2.8000000000000007,0.8526082940042281,1.0133775911504597,0.2453063071609154,1.0,0.07096354166666667,0.4836533039803548,106.0,110.91666666666667,14.232221750891767
sudden,304,State,State Warm Start,1.0388484984071114,1.0388484984071114,0.0,0.8526082940042281,0.18624020440288325,1.0724436939084918,1.0,0.8844401041666666,0.11983242504376752,106.0,110.83333333333333,14.228643041860778
sudden,304,Combined,Combined,2.576440808440515,0.8364408084405146,5.8,0.8526082940042281,1.7238325144362867,-0.46514861612491165,1.0,0.439453125,0.2869208079298046,106.0,110.83333333333333,14.197697167051956
