scenario,seed,snapshot_t,method,evaluation,objective_value,best_so_far_cost
gradual,201,4,Cold,1,0.610082955098314,0.610082955098314
gradual,201,4,Cold,2,0.544839735451186,0.544839735451186
gradual,201,4,Cold,3,0.5606424205451271,0.544839735451186
gradual,201,4,Cold,4,0.5690724383077754,0.544839735451186
gradual,201,4,Cold,5,0.5272021144812417,0.5272021144812417
gradual,201,4,Cold,6,0.5486893430018133,0.5272021144812417
gradual,201,4,Cold,7,0.57704562997613,0.5272021144812417
gradual,201,4,Cold,8,0.5510865207233715,0.5272021144812417
gradual,201,4,Cold,9,0.5474258926975634,0.5272021144812417
gradual,201,4,Cold,10,0.5616619142714955,0.5272021144812417
gradual,201,4,Cold,11,0.5397606034101391,0.5272021144812417
gradual,201,4,Cold,12,0.5550412295465976,0.5272021144812417
gradual,201,4,Cold,13,0.5464395926433171,0.5272021144812417
gradual,201,4,Cold,14,0.544753838771756,0.5272021144812417
gradual,201,4,Cold,15,0.5703710630130202,0.5272021144812417
gradual,201,4,Cold,16,0.552895656681356,0.5272021144812417
gradual,201,4,Cold,17,0.5398269105310518,0.5272021144812417
gradual,201,4,Cold,18,0.5454395039744933,0.5272021144812417
gradual,201,4,Cold,19,0.5140639420700541,0.5140639420700541
gradual,201,4,Cold,20,0.5545055561284058,0.5140639420700541
gradual,201,4,Cold,21,0.5311107250899478,0.5140639420700541
gradual,201,4,Cold,22,0.5320363585950657,0.5140639420700541
gradual,201,4,Cold,23,0.5454563366530878,0.5140639420700541
gradual,201,4,Cold,24,0.5452355243155531,0.5140639420700541
gradual,201,4,Param,1,0.6141105977084161,0.6141105977084161
gradual,201,4,Param,2,0.5824650119984753,0.5824650119984753
gradual,201,4,Param,3,0.5617791511731116,0.5617791511731116
gradual,201,4,Param,4,0.6182957075576456,0.5617791511731116
gradual,201,4,Param,5,0.5093387142153337,0.5093387142153337
gradual,201,4,Param,6,0.527248065085289,0.5093387142153337
gradual,201,4,Param,7,0.5274795486449086,0.5093387142153337
gradual,201,4,Param,8,0.5366206219612811,0.5093387142153337
gradual,201,4,Param,9,0.5272724789498965,0.5093387142153337
gradual,201,4,Param,10,0.521876225556249,0.5093387142153337
gradual,201,4,Param,11,0.5576286448888421,0.5093387142153337
gradual,201,4,Param,12,0.5430997369707891,0.5093387142153337
gradual,201,4,Param,13,0.5337211033595595,0.5093387142153337
gradual,201,4,Param,14,0.511077331379676,0.5093387142153337
gradual,201,4,Param,15,0.5270948368310533,0.5093387142153337
gradual,201,4,Param,16,0.5417667248713529,0.5093387142153337
gradual,201,4,Param,17,0.5192872622065793,0.5093387142153337
gradual,201,4,Param,18,0.4994007893613849,0.4994007893613849
gradual,201,4,Param,19,0.5173071264119579,0.4994007893613849
gradual,201,4,Param,20,0.5205400453882134,0.4994007893613849
gradual,201,4,Param,21,0.5228500321369445,0.4994007893613849
gradual,201,4,Param,22,0.51286587568625,0.4994007893613849
gradual,201,4,Param,23,0.5151290729121163,0.4994007893613849
gradual,201,4,Param,24,0.5102899728101519,0.4994007893613849
gradual,201,4,State,1,0.17819925292810773,0.17819925292810773
gradual,201,4,State,2,0.4889044282173271,0.17819925292810773
gradual,201,4,State,3,0.19941312869890698,0.17819925292810773
gradual,201,4,State,4,0.48411946179654947,0.17819925292810773
gradual,201,4,State,5,0.19023310332966556,0.17819925292810773
gradual,201,4,State,6,0.18000814797271467,0.17819925292810773
gradual,201,4,State,7,0.2677983196514923,0.17819925292810773
gradual,201,4,State,8,0.18253914908702268,0.17819925292810773
gradual,201,4,State,9,0.13606564640133006,0.13606564640133006
gradual,201,4,State,10,0.06918740009233508,0.06918740009233508
gradual,201,4,State,11,0.009340763436665315,0.009340763436665315
gradual,201,4,State,12,0.007762876405376267,0.007762876405376267
gradual,201,4,State,13,0.041446044085088694,0.007762876405376267
gradual,201,4,State,14,0.02281866138805784,0.007762876405376267
gradual,201,4,State,15,0.0021977386789134366,0.0021977386789134366
gradual,201,4,State,16,0.00290694619055251,0.0021977386789134366
gradual,201,4,State,17,0.0061757193632891675,0.0021977386789134366
gradual,201,4,State,18,0.00827698648033958,0.0021977386789134366
gradual,201,4,State,19,0.004725147642776055,0.0021977386789134366
gradual,201,4,State,20,0.00548991670420401,0.0021977386789134366
gradual,201,4,State,21,0.0045253232023986885,0.0021977386789134366
gradual,201,4,State,22,0.0058239839377774195,0.0021977386789134366
gradual,201,4,State,23,0.002535319306940565,0.0021977386789134366
gradual,201,4,State,24,0.004443128564537808,0.0021977386789134366
