scenario,seed,snapshot_t,method,evaluation,best_so_far_cost
gradual,201,4,Combined,5,0.03371896569893533
gradual,201,4,Combined,6,0.028091070886278345
gradual,201,4,Combined,7,0.023402505005152945
gradual,201,4,Combined,8,0.019496488501039418
gradual,201,4,Combined,9,0.016242409254371107
gradual,201,4,Combined,10,0.013531455080868289
gradual,201,4,Combined,11,0.01127297519339878
gradual,201,4,Combined,12,0.009391448957374794
gradual,201,4,Combined,13,0.007823960578802983
gradual,201,4,Combined,14,0.006518095281835459
gradual,201,4,Combined,15,0.005430186626730893
gradual,201,4,Combined,16,0.004523856360814607
gradual,201,4,Combined,17,0.00376879797694972
gradual,201,4,Combined,18,0.00313976330329431
gradual,201,4,Combined,19,0.002615718237222231
gradual,201,4,Combined,20,0.0021791393922459684
gradual,201,4,Combined,21,0.001815428138728356
gradual,201,4,Combined,22,0.0015124224446650958
gradual,201,4,Combined,23,0.0012599901931282242
gradual,201,4,Combined,24,0.0010496903774334376
sudden,304,5,Cold,1,0.3613418730495859
sudden,304,5,Cold,2,0.33964410413882395
sudden,304,5,Cold,3,0.3215678211950222
sudden,304,5,Cold,4,0.30650857679029864
sudden,304,5,Cold,5,0.29396280934760866
sudden,304,5,Cold,6,0.2835110046955314
sudden,304,5,Cold,7,0.2748036680591557
sudden,304,5,Cold,8,0.2675496374086591
sudden,304,5,Cold,9,0.26150634737913225
sudden,304,5,Cold,10,0.2564717181997699
sudden,304,5,Cold,11,0.25227739840875507
sudden,304,5,Cold,12,0.24878313539899627
sudden,304,5,Cold,13,0.24587208555307716
sudden,304,5,Cold,14,0.24344690714442319
sudden,304,5,Cold,15,0.24142650535637186
sudden,304,5,Cold,16,0.23974332057681305
sudden,304,5,Cold,17,0.23834106929249255
sudden,304,5,Cold,18,0.23717286204141821
sudden,304,5,Cold,19,0.2361996354901415
sudden,304,5,Cold,20,0.23538884620661416
sudden,304,5,Cold,21,0.23471338245008144
sudden,304,5,Cold,22,0.23415065758967823
sudden,304,5,Cold,23,0.23368185483682405
sudden,304,5,Cold,24,0.233291298036248
sudden,304,5,Param,1,0.41257000084478984
sudden,304,5,Param,2,0.41037869649696374
sudden,304,5,Param,3,0.4081873921491377
sudden,304,5,Param,4,0.4059960878013116
sudden,304,5,Param,5,0.40380478345348547
sudden,304,5,Param,6,0.4016134791056594
sudden,304,5,Param,7,0.3994221747578333
sudden,304,5,Param,8,0.3972308704100072
sudden,304,5,Param,9,0.39503956606218116
sudden,304,5,Param,10,0.39284826171435505
sudden,304,5,Param,11,0.39065695736652895
sudden,304,5,Param,12,0.38613739214913767
sudden,304,5,Param,13,0.378702609540442
sudden,304,5,Param,14,0.37126782693174637
sudden,304,5,Param,15,0.3638330443230507
sudden,304,5,Param,16,0.35639826171435507
sudden,304,5,Param,17,0.3489634791056594
sudden,304,5,Param,18,0.34152869649696377
sudden,304,5,Param,19,0.33409391388826815
sudden,304,5,Param,20,0.32665913127957247
sudden,304,5,Param,21,0.3192243486708768
