regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.2312370839645155
stationary,101,Param,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.2312370839645155
stationary,101,State,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.2312370839645155
stationary,101,Combined,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.2312370839645155
stationary,101,Cold,1,0.0,0.21711018025563694,0.09711018025563693,0.4,0.3142203605112739,0.19422036051127387,0.4,0.0,0.5336183721309049,0.21711018025563694,1.0,0.03125,5,32,102,113,1.2238383750081994
stationary,101,Param,1,0.0,0.21844702228866042,0.15844702228866042,0.2,0.31555720254429737,0.25555720254429737,0.2,-0.0013368420330234776,0.5369997011199369,0.21844702228866042,1.0,0.03125,5,32,102,113,1.1660409159958363
stationary,101,State,1,0.0,0.06,0.0,0.2,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.19997290572459142,0.06,1.0,0.03125,5,32,102,112,1.1632049169857055
stationary,101,Combined,1,0.0,0.06,0.0,0.2,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.11671072877933845,0.06,1.0,0.03125,5,32,102,112,1.177296333014965
stationary,101,Cold,2,0.0,0.21891922052408472,0.15891922052408472,0.20000000000000007,0.5331395810353586,0.3531395810353586,0.6000000000000001,0.0,0.5086431065636103,0.21891922052408472,1.0,0.0625,5,32,102,113,1.3340808339999057
stationary,101,Param,2,0.0,0.233244645982958,0.11324464598295803,0.4000000000000001,0.5488018485272553,0.3688018485272554,0.6000000000000001,-0.014325425458873275,0.5264680203106972,0.233244645982958,1.0,0.03125,5,32,102,113,1.1849717080476694
stationary,101,State,2,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21891922052408472,0.05918436633412637,0.0,1.0,0.78125,5,32,102,113,1.169731125002727
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21891922052408472,0.01720659027486572,0.0,1.0,0.9375,5,32,102,113,1.1696123749716207
stationary,101,Cold,3,0.0,0.12,0.0,0.3999999999999999,0.6531395810353586,0.3531395810353586,1.0,0.0,0.3029168030102286,0.12,1.0,0.28125,5,32,102,113,1.2036495000356808
stationary,101,Param,3,0.0,0.233244645982958,0.11324464598295803,0.3999999999999999,0.7820464945102134,0.4820464945102134,1.0,-0.113244645982958,0.5451879425425458,0.233244645982958,1.0,0.03125,5,32,102,113,1.1716462500044145
stationary,101,State,3,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.12,0.18326630916128214,0.0,1.0,0.375,5,32,102,113,1.1423335840227082
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.12,0.05009440858339602,0.0,1.0,0.875,5,32,102,113,1.1697688749991357
stationary,101,Cold,4,0.0,0.0,0.0,0.0,0.6531395810353586,0.3531395810353586,1.0,0.0,0.47593909400890955,0.0,1.0,0.03125,5,32,102,112,1.2053497500019148
stationary,101,Param,4,0.0,0.21711018025563694,0.09711018025563689,0.3999999999999999,0.9991566747658502,0.5791566747658503,1.4,-0.21711018025563694,0.502116169289955,0.21711018025563694,1.0,0.03125,5,32,102,112,1.151109250029549
stationary,101,State,4,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.0,0.05474390734094606,0.0,1.0,0.84375,5,32,102,113,1.1746402499848045
