regime,seed,method,snapshot_t,user,channel
stationary,101,Cold,0,0,1
stationary,101,Cold,0,1,0
stationary,101,Cold,0,2,2
stationary,101,Cold,0,3,1
stationary,101,Cold,0,4,0
stationary,101,Cold,1,0,1
stationary,101,Cold,1,1,0
stationary,101,Cold,1,2,2
stationary,101,Cold,1,3,1
stationary,101,Cold,1,4,0
stationary,101,Cold,2,0,1
stationary,101,Cold,2,1,0
stationary,101,Cold,2,2,2
stationary,101,Cold,2,3,1
stationary,101,Cold,2,4,0
stationary,101,Cold,3,0,1
stationary,101,Cold,3,1,0
stationary,101,Cold,3,2,2
stationary,101,Cold,3,3,1
stationary,101,Cold,3,4,0
stationary,101,Cold,4,0,1
stationary,101,Cold,4,1,0
stationary,101,Cold,4,2,2
stationary,101,Cold,4,3,1
stationary,101,Cold,4,4,0
stationary,101,Cold,5,0,1
stationary,101,Cold,5,1,1
stationary,101,Cold,5,2,0
stationary,101,Cold,5,3,2
stationary,101,Cold,5,4,0
stationary,101,Cold,6,0,1
stationary,101,Cold,6,1,1
stationary,101,Cold,6,2,0
stationary,101,Cold,6,3,2
stationary,101,Cold,6,4,1
stationary,101,Cold,7,0,2
stationary,101,Cold,7,1,1
stationary,101,Cold,7,2,0
stationary,101,Cold,7,3,2
stationary,101,Cold,7,4,1
stationary,101,Cold,8,0,2
stationary,101,Cold,8,1,1
stationary,101,Cold,8,2,0
stationary,101,Cold,8,3,2
stationary,101,Cold,8,4,1
stationary,101,Cold,9,0,0
stationary,101,Cold,9,1,1
stationary,101,Cold,9,2,2
stationary,101,Cold,9,3,0
stationary,101,Cold,9,4,1
stationary,101,Cold,10,0,1
stationary,101,Cold,10,1,1
stationary,101,Cold,10,2,2
stationary,101,Cold,10,3,0
stationary,101,Cold,10,4,1
stationary,101,Cold,11,0,1
stationary,101,Cold,11,1,1
stationary,101,Cold,11,2,2
stationary,101,Cold,11,3,0
stationary,101,Cold,11,4,1
stationary,101,Param,0,0,1
stationary,101,Param,0,1,0
stationary,101,Param,0,2,2
stationary,101,Param,0,3,1
stationary,101,Param,0,4,0
stationary,101,Param,1,0,1
stationary,101,Param,1,1,0
stationary,101,Param,1,2,2
stationary,101,Param,1,3,1
stationary,101,Param,1,4,0
stationary,101,Param,2,0,1
stationary,101,Param,2,1,0
stationary,101,Param,2,2,2
stationary,101,Param,2,3,1
stationary,101,Param,2,4,0
stationary,101,Param,3,0,1
stationary,101,Param,3,1,0
stationary,101,Param,3,2,2
stationary,101,Param,3,3,1
stationary,101,Param,3,4,0
stationary,101,Param,4,0,1
stationary,101,Param,4,1,0
stationary,101,Param,4,2,2
stationary,101,Param,4,3,1
stationary,101,Param,4,4,0
stationary,101,Param,5,0,1
stationary,101,Param,5,1,0
stationary,101,Param,5,2,2
stationary,101,Param,5,3,1
stationary,101,Param,5,4,0
stationary,101,Param,6,0,0
stationary,101,Param,6,1,0
stationary,101,Param,6,2,2
stationary,101,Param,6,3,1
stationary,101,Param,6,4,0
stationary,101,Param,7,0,0
stationary,101,Param,7,1,0
stationary,101,Param,7,2,2
stationary,101,Param,7,3,1
stationary,101,Param,7,4,0
stationary,101,Param,8,0,1
stationary,101,Param,8,1,0
stationary,101,Param,8,2,2
stationary,101,Param,8,3,1
stationary,101,Param,8,4,0
stationary,101,Param,9,0,1
stationary,101,Param,9,1,0
stationary,101,Param,9,2,2
stationary,101,Param,9,3,1
stationary,101,Param,9,4,0
stationary,101,Param,10,0,2
stationary,101,Param,10,1,0
stationary,101,Param,10,2,1
stationary,101,Param,10,3,2
stationary,101,Param,10,4,0
stationary,101,Param,11,0,2
stationary,101,Param,11,1,0
stationary,101,Param,11,2,1
stationary,101,Param,11,3,2
stationary,101,Param,11,4,2
stationary,101,State,0,0,1
stationary,101,State,0,1,0
stationary,101,State,0,2,2
stationary,101,State,0,3,1
stationary,101,State,0,4,0
stationary,101,State,1,0,1
stationary,101,State,1,1,0
stationary,101,State,1,2,2
stationary,101,State,1,3,1
stationary,101,State,1,4,0
stationary,101,State,2,0,1
stationary,101,State,2,1,0
stationary,101,State,2,2,2
stationary,101,State,2,3,1
stationary,101,State,2,4,0
stationary,101,State,3,0,1
stationary,101,State,3,1,0
stationary,101,State,3,2,2
stationary,101,State,3,3,1
stationary,101,State,3,4,0
stationary,101,State,4,0,1
stationary,101,State,4,1,0
stationary,101,State,4,2,2
stationary,101,State,4,3,1
stationary,101,State,4,4,0
stationary,101,State,5,0,1
stationary,101,State,5,1,0
stationary,101,State,5,2,2
stationary,101,State,5,3,1
stationary,101,State,5,4,0
stationary,101,State,6,0,1
stationary,101,State,6,1,0
stationary,101,State,6,2,2
stationary,101,State,6,3,1
stationary,101,State,6,4,0
stationary,101,State,7,0,1
stationary,101,State,7,1,0
stationary,101,State,7,2,2
stationary,101,State,7,3,1
stationary,101,State,7,4,0
stationary,101,State,8,0,1
stationary,101,State,8,1,0
stationary,101,State,8,2,2
stationary,101,State,8,3,1
stationary,101,State,8,4,0
stationary,101,State,9,0,1
stationary,101,State,9,1,0
stationary,101,State,9,2,2
stationary,101,State,9,3,1
stationary,101,State,9,4,0
stationary,101,State,10,0,1
stationary,101,State,10,1,0
stationary,101,State,10,2,2
stationary,101,State,10,3,1
stationary,101,State,10,4,0
stationary,101,State,11,0,1
stationary,101,State,11,1,0
stationary,101,State,11,2,2
stationary,101,State,11,3,1
stationary,101,State,11,4,0
stationary,101,Combined,0,0,1
stationary,101,Combined,0,1,0
stationary,101,Combined,0,2,2
stationary,101,Combined,0,3,1
stationary,101,Combined,0,4,0
stationary,101,Combined,1,0,1
stationary,101,Combined,1,1,0
stationary,101,Combined,1,2,2
stationary,101,Combined,1,3,1
stationary,101,Combined,1,4,0
stationary,101,Combined,2,0,1
stationary,101,Combined,2,1,0
stationary,101,Combined,2,2,2
stationary,101,Combined,2,3,1
stationary,101,Combined,2,4,0
stationary,101,Combined,3,0,1
stationary,101,Combined,3,1,0
stationary,101,Combined,3,2,2
stationary,101,Combined,3,3,1
stationary,101,Combined,3,4,0
stationary,101,Combined,4,0,1
stationary,101,Combined,4,1,0
stationary,101,Combined,4,2,2
stationary,101,Combined,4,3,1
stationary,101,Combined,4,4,0
stationary,101,Combined,5,0,1
stationary,101,Combined,5,1,0
stationary,101,Combined,5,2,2
stationary,101,Combined,5,3,1
stationary,101,Combined,5,4,0
stationary,101,Combined,6,0,1
stationary,101,Combined,6,1,0
stationary,101,Combined,6,2,2
stationary,101,Combined,6,3,1
stationary,101,Combined,6,4,0
stationary,101,Combined,7,0,1
stationary,101,Combined,7,1,0
stationary,101,Combined,7,2,2
stationary,101,Combined,7,3,1
stationary,101,Combined,7,4,0
stationary,101,Combined,8,0,1
stationary,101,Combined,8,1,0
stationary,101,Combined,8,2,2
stationary,101,Combined,8,3,1
stationary,101,Combined,8,4,0
stationary,101,Combined,9,0,1
stationary,101,Combined,9,1,0
stationary,101,Combined,9,2,2
stationary,101,Combined,9,3,1
stationary,101,Combined,9,4,0
stationary,101,Combined,10,0,1
stationary,101,Combined,10,1,0
stationary,101,Combined,10,2,2
stationary,101,Combined,10,3,1
stationary,101,Combined,10,4,0
stationary,101,Combined,11,0,1
stationary,101,Combined,11,1,0
stationary,101,Combined,11,2,2
stationary,101,Combined,11,3,1
stationary,101,Combined,11,4,0
gradual,201,Cold,0,0,1
gradual,201,Cold,0,1,2
gradual,201,Cold,0,2,0
gradual,201,Cold,0,3,1
gradual,201,Cold,0,4,2
gradual,201,Cold,1,0,1
gradual,201,Cold,1,1,2
gradual,201,Cold,1,2,0
gradual,201,Cold,1,3,1
gradual,201,Cold,1,4,2
gradual,201,Cold,2,0,1
gradual,201,Cold,2,1,2
gradual,201,Cold,2,2,0
gradual,201,Cold,2,3,1
gradual,201,Cold,2,4,2
gradual,201,Cold,3,0,1
gradual,201,Cold,3,1,2
gradual,201,Cold,3,2,2
gradual,201,Cold,3,3,1
gradual,201,Cold,3,4,0
gradual,201,Cold,4,0,1
gradual,201,Cold,4,1,0
gradual,201,Cold,4,2,2
gradual,201,Cold,4,3,1
gradual,201,Cold,4,4,0
gradual,201,Cold,5,0,1
gradual,201,Cold,5,1,0
gradual,201,Cold,5,2,2
gradual,201,Cold,5,3,1
gradual,201,Cold,5,4,0
gradual,201,Cold,6,0,2
gradual,201,Cold,6,1,0
gradual,201,Cold,6,2,1
gradual,201,Cold,6,3,2
gradual,201,Cold,6,4,0
gradual,201,Cold,7,0,2
gradual,201,Cold,7,1,0
gradual,201,Cold,7,2,1
gradual,201,Cold,7,3,2
gradual,201,Cold,7,4,0
gradual,201,Cold,8,0,1
gradual,201,Cold,8,1,0
gradual,201,Cold,8,2,2
gradual,201,Cold,8,3,1
gradual,201,Cold,8,4,0
gradual,201,Cold,9,0,0
gradual,201,Cold,9,1,0
gradual,201,Cold,9,2,1
gradual,201,Cold,9,3,2
gradual,201,Cold,9,4,0
gradual,201,Cold,10,0,2
gradual,201,Cold,10,1,0
gradual,201,Cold,10,2,1
gradual,201,Cold,10,3,2
gradual,201,Cold,10,4,0
gradual,201,Cold,11,0,2
gradual,201,Cold,11,1,0
gradual,201,Cold,11,2,1
gradual,201,Cold,11,3,2
gradual,201,Cold,11,4,0
gradual,201,Param,0,0,1
gradual,201,Param,0,1,2
gradual,201,Param,0,2,0
gradual,201,Param,0,3,1
gradual,201,Param,0,4,2
gradual,201,Param,1,0,1
gradual,201,Param,1,1,2
gradual,201,Param,1,2,0
gradual,201,Param,1,3,1
gradual,201,Param,1,4,2
gradual,201,Param,2,0,1
gradual,201,Param,2,1,2
gradual,201,Param,2,2,0
gradual,201,Param,2,3,1
gradual,201,Param,2,4,2
gradual,201,Param,3,0,2
gradual,201,Param,3,1,1
gradual,201,Param,3,2,0
gradual,201,Param,3,3,2
gradual,201,Param,3,4,1
gradual,201,Param,4,0,2
gradual,201,Param,4,1,0
gradual,201,Param,4,2,1
gradual,201,Param,4,3,2
gradual,201,Param,4,4,0
gradual,201,Param,5,0,2
gradual,201,Param,5,1,0
gradual,201,Param,5,2,1
gradual,201,Param,5,3,2
gradual,201,Param,5,4,0
gradual,201,Param,6,0,2
