regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
stationary,101,Cold,Cold,0.9669272898214922,0.36692728982149225,2.0,0.0,0.9669272898214922,0.0,1.0,0.17183430989583334,0.45326308363736484,102.0,112.66666666666667,195.16722614248283
stationary,101,Param,Parameter Transfer,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.8698171095658553,0.09711018025563689,1.0,0.08955891927083333,0.46115570112035287,102.0,112.66666666666667,269.3182657484431
stationary,101,State,State Warm Start,0.3731449271657947,0.31314492716579473,0.2,0.0,0.3731449271657947,0.5937823626556975,1.0,0.7544759114583334,0.07288828709701764,102.0,112.75,196.16392797674052
stationary,101,Combined,Combined,0.27657246358289733,0.15657246358289736,0.4,0.0,0.27657246358289733,0.6903548262385949,1.0,0.8230794270833334,0.03121293485715178,102.0,112.0,190.42038434301503
stationary,102,Cold,Cold,1.1729234453570425,0.5729234453570425,2.0,0.0,1.1729234453570425,0.0,1.0,0.007283528645833333,0.4496315043074444,102.0,112.5,242.0578812751919
stationary,102,Param,Parameter Transfer,1.4419580861006052,0.6019580861006051,2.8000000000000003,0.0,1.4419580861006052,-0.26903464074356265,1.0,0.019734700520833332,0.4374922013171279,102.0,112.5,153.00918543268926
stationary,102,State,State Warm Start,0.0,0.0,0.0,0.0,0.0,1.1729234453570425,1.0,0.9062906901041666,0.03195678236171633,102.0,113.0,190.35676601389423
stationary,102,Combined,Combined,0.0,0.0,0.0,0.0,0.0,1.1729234453570425,1.0,0.9043782552083334,0.03205081995218751,102.0,113.0,141.47950776014477
gradual,201,Cold,Cold,1.4671010389657653,0.6871010389657652,2.6,0.18792755652072324,1.279173482445042,0.0,1.0,0.0033772786458333335,0.4326439083380608,107.0,112.0,293.5155114547815
gradual,201,Param,Parameter Transfer,1.5075698235211017,0.7275698235211017,2.6,0.18792755652072324,1.3196422670003785,-0.04046878455533642,1.0,0.011555989583333334,0.41337622266323354,107.0,112.0,238.53936599032022
gradual,201,State,State Warm Start,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.279173482445042,1.0,0.8806559244791666,0.03943092998444724,107.0,111.58333333333333,214.72104729153216
gradual,201,Combined,Combined,0.18792755652072324,0.18792755652072324,0.0,0.18792755652072324,0.0,1.279173482445042,1.0,0.9056396484375,0.032751048100630044,107.0,111.58333333333333,270.4468054524623
gradual,202,Cold,Cold,0.48,0.0,1.6,0.0,0.48,0.0,1.0,0.169677734375,0.37123783111259795,89.0,104.25,169.1381088953931
