regime,seed,method,lambda_switch,cumulative_switches,cumulative_interference,cumulative_cost
continuous_sudden,402,Combined,0.0,5.999999999999999,0.08528586183460961,0.08528586183460961
continuous_sudden,402,Cold,0.15,2.8,0.08528586183460961,0.5052858618346096
continuous_sudden,402,Combined,0.15,2.6,0.08528586183460961,0.4752858618346096
continuous_sudden,402,Cold,0.3,3.0,0.22129582828695243,1.1212958282869523
continuous_sudden,402,Combined,0.3,1.0,0.08528586183460961,0.3852858618346096
continuous_sudden,402,Cold,0.6,2.1999999999999997,0.21408681654503497,1.534086816545035
continuous_sudden,402,Combined,0.6,1.4,0.08528586183460961,0.9252858618346096
continuous_sudden,403,Cold,0.0,7.6,0.3255253885206363,0.3255253885206363
continuous_sudden,403,Combined,0.0,4.8,0.10018729715322083,0.10018729715322083
continuous_sudden,403,Cold,0.15,3.4000000000000004,0.19620657821909182,0.7062065782190917
continuous_sudden,403,Combined,0.15,3.2,0.5129905008407931,0.992990500840793
continuous_sudden,403,Cold,0.3,3.4000000000000004,0.17173764635847255,1.1917376463584723
continuous_sudden,403,Combined,0.3,1.0,0.5129905008407931,0.8129905008407932
continuous_sudden,403,Cold,0.6,3.0,0.10018729715322083,1.9001872971532208
continuous_sudden,403,Combined,0.6,0.6000000000000001,1.4097971004906185,1.7697971004906183
continuous_sudden,404,Cold,0.0,8.6,0.2993553069297289,0.2993553069297289
continuous_sudden,404,Combined,0.0,1.4,0.44302458852077853,0.44302458852077853
continuous_sudden,404,Cold,0.15,4.800000000000001,0.2591406958954388,0.9791406958954387
continuous_sudden,404,Combined,0.15,1.0,0.3423637880655616,0.4923637880655616
continuous_sudden,404,Cold,0.3,4.000000000000001,0.3835651194972087,1.5835651194972091
continuous_sudden,404,Combined,0.3,1.4,0.2753714035223337,0.6953714035223337
continuous_sudden,404,Cold,0.6,4.000000000000001,0.5630361851564023,2.963036185156403
continuous_sudden,404,Combined,0.6,0.6000000000000001,0.4484369265531983,0.8084369265531983
