regime,seed,method,snapshot_t,user,channel
gradual,201,State,0,1,2
gradual,201,State,0,2,0
gradual,201,State,0,3,1
gradual,201,State,0,4,2
gradual,201,State,1,0,0
gradual,201,State,1,1,2
gradual,201,State,1,2,0
gradual,201,State,1,3,1
gradual,201,State,1,4,2
gradual,201,State,2,0,0
gradual,201,State,2,1,2
gradual,201,State,2,2,0
gradual,201,State,2,3,1
gradual,201,State,2,4,2
gradual,201,State,3,0,0
gradual,201,State,3,1,2
gradual,201,State,3,2,0
gradual,201,State,3,3,1
gradual,201,State,3,4,2
gradual,201,State,4,0,0
gradual,201,State,4,1,2
gradual,201,State,4,2,0
gradual,201,State,4,3,1
gradual,201,State,4,4,2
gradual,201,State,5,0,0
gradual,201,State,5,1,2
gradual,201,State,5,2,1
gradual,201,State,5,3,0
gradual,201,State,5,4,2
gradual,201,Combined,0,0,0
gradual,201,Combined,0,1,2
gradual,201,Combined,0,2,0
gradual,201,Combined,0,3,1
gradual,201,Combined,0,4,2
gradual,201,Combined,1,0,0
gradual,201,Combined,1,1,2
gradual,201,Combined,1,2,0
gradual,201,Combined,1,3,1
gradual,201,Combined,1,4,2
gradual,201,Combined,2,0,0
gradual,201,Combined,2,1,2
gradual,201,Combined,2,2,0
gradual,201,Combined,2,3,1
gradual,201,Combined,2,4,2
gradual,201,Combined,3,0,0
gradual,201,Combined,3,1,2
gradual,201,Combined,3,2,0
gradual,201,Combined,3,3,1
gradual,201,Combined,3,4,2
gradual,201,Combined,4,0,0
gradual,201,Combined,4,1,2
gradual,201,Combined,4,2,0
gradual,201,Combined,4,3,1
gradual,201,Combined,4,4,2
gradual,201,Combined,5,0,0
gradual,201,Combined,5,1,2
gradual,201,Combined,5,2,0
gradual,201,Combined,5,3,1
gradual,201,Combined,5,4,2
sudden,304,Cold,0,0,2
sudden,304,Cold,0,1,2
sudden,304,Cold,0,2,1
sudden,304,Cold,0,3,0
sudden,304,Cold,0,4,2
sudden,304,Cold,1,0,2
sudden,304,Cold,1,1,0
sudden,304,Cold,1,2,1
sudden,304,Cold,1,3,2
sudden,304,Cold,1,4,0
sudden,304,Cold,2,0,1
sudden,304,Cold,2,1,2
sudden,304,Cold,2,2,1
sudden,304,Cold,2,3,0
sudden,304,Cold,2,4,2
sudden,304,Cold,3,0,0
sudden,304,Cold,3,1,0
sudden,304,Cold,3,2,1
sudden,304,Cold,3,3,2
sudden,304,Cold,3,4,0
sudden,304,Cold,4,0,0
sudden,304,Cold,4,1,2
sudden,304,Cold,4,2,1
sudden,304,Cold,4,3,0
sudden,304,Cold,4,4,2
sudden,304,Cold,5,0,0
sudden,304,Cold,5,1,0
sudden,304,Cold,5,2,1
sudden,304,Cold,5,3,0
sudden,304,Cold,5,4,2
sudden,304,Param,0,0,2
sudden,304,Param,0,1,2
sudden,304,Param,0,2,1
sudden,304,Param,0,3,0
sudden,304,Param,0,4,2
sudden,304,Param,1,0,1
sudden,304,Param,1,1,1
sudden,304,Param,1,2,2
sudden,304,Param,1,3,0
sudden,304,Param,1,4,1
sudden,304,Param,2,0,2
sudden,304,Param,2,1,1
sudden,304,Param,2,2,2
sudden,304,Param,2,3,0
sudden,304,Param,2,4,1
sudden,304,Param,3,0,0
sudden,304,Param,3,1,0
sudden,304,Param,3,2,2
sudden,304,Param,3,3,1
sudden,304,Param,3,4,0
sudden,304,Param,4,0,0
sudden,304,Param,4,1,0
sudden,304,Param,4,2,2
sudden,304,Param,4,3,2
sudden,304,Param,4,4,1
sudden,304,Param,5,0,2
sudden,304,Param,5,1,0
sudden,304,Param,5,2,0
sudden,304,Param,5,3,2
sudden,304,Param,5,4,1
sudden,304,State,0,0,2
sudden,304,State,0,1,2
sudden,304,State,0,2,1
sudden,304,State,0,3,0
sudden,304,State,0,4,2
sudden,304,State,1,0,0
sudden,304,State,1,1,2
sudden,304,State,1,2,1
sudden,304,State,1,3,0
sudden,304,State,1,4,2
sudden,304,State,2,0,0
sudden,304,State,2,1,2
sudden,304,State,2,2,1
sudden,304,State,2,3,0
sudden,304,State,2,4,2
sudden,304,State,3,0,0
sudden,304,State,3,1,2
sudden,304,State,3,2,1
sudden,304,State,3,3,0
sudden,304,State,3,4,2
sudden,304,State,4,0,0
sudden,304,State,4,1,2
sudden,304,State,4,2,1
sudden,304,State,4,3,0
sudden,304,State,4,4,2
sudden,304,State,5,0,0
sudden,304,State,5,1,1
sudden,304,State,5,2,1
sudden,304,State,5,3,0
sudden,304,State,5,4,2
sudden,304,Combined,0,0,2
sudden,304,Combined,0,1,2
sudden,304,Combined,0,2,1
sudden,304,Combined,0,3,0
sudden,304,Combined,0,4,2
sudden,304,Combined,1,0,2
sudden,304,Combined,1,1,2
sudden,304,Combined,1,2,1
sudden,304,Combined,1,3,0
sudden,304,Combined,1,4,2
sudden,304,Combined,2,0,2
sudden,304,Combined,2,1,2
sudden,304,Combined,2,2,1
sudden,304,Combined,2,3,0
sudden,304,Combined,2,4,2
sudden,304,Combined,3,0,2
sudden,304,Combined,3,1,2
sudden,304,Combined,3,2,1
sudden,304,Combined,3,3,0
sudden,304,Combined,3,4,2
sudden,304,Combined,4,0,2
sudden,304,Combined,4,1,2
sudden,304,Combined,4,2,1
sudden,304,Combined,4,3,0
sudden,304,Combined,4,4,2
sudden,304,Combined,5,0,2
sudden,304,Combined,5,1,2
sudden,304,Combined,5,2,1
sudden,304,Combined,5,3,0
sudden,304,Combined,5,4,2
continuous_sudden,401,Cold,0,0,1
continuous_sudden,401,Cold,0,1,2
continuous_sudden,401,Cold,0,2,0
continuous_sudden,401,Cold,0,3,1
continuous_sudden,401,Cold,0,4,2
continuous_sudden,401,Cold,1,0,0
continuous_sudden,401,Cold,1,1,2
continuous_sudden,401,Cold,1,2,2
continuous_sudden,401,Cold,1,3,1
continuous_sudden,401,Cold,1,4,2
continuous_sudden,401,Cold,2,0,0
continuous_sudden,401,Cold,2,1,2
continuous_sudden,401,Cold,2,2,2
continuous_sudden,401,Cold,2,3,1
continuous_sudden,401,Cold,2,4,2
continuous_sudden,401,Cold,3,0,0
continuous_sudden,401,Cold,3,1,2
continuous_sudden,401,Cold,3,2,1
continuous_sudden,401,Cold,3,3,0
continuous_sudden,401,Cold,3,4,1
continuous_sudden,401,Cold,4,0,0
continuous_sudden,401,Cold,4,1,2
continuous_sudden,401,Cold,4,2,1
continuous_sudden,401,Cold,4,3,2
continuous_sudden,401,Cold,4,4,1
continuous_sudden,401,Cold,5,0,0
continuous_sudden,401,Cold,5,1,2
continuous_sudden,401,Cold,5,2,2
continuous_sudden,401,Cold,5,3,1
continuous_sudden,401,Cold,5,4,0
continuous_sudden,401,Param,0,0,1
continuous_sudden,401,Param,0,1,2
continuous_sudden,401,Param,0,2,0
continuous_sudden,401,Param,0,3,1
continuous_sudden,401,Param,0,4,2
continuous_sudden,401,Param,1,0,0
continuous_sudden,401,Param,1,1,2
continuous_sudden,401,Param,1,2,0
continuous_sudden,401,Param,1,3,1
continuous_sudden,401,Param,1,4,2
continuous_sudden,401,Param,2,0,0
continuous_sudden,401,Param,2,1,0
continuous_sudden,401,Param,2,2,1
continuous_sudden,401,Param,2,3,2
continuous_sudden,401,Param,2,4,0
continuous_sudden,401,Param,3,0,0
continuous_sudden,401,Param,3,1,2
continuous_sudden,401,Param,3,2,0
continuous_sudden,401,Param,3,3,1
continuous_sudden,401,Param,3,4,0
continuous_sudden,401,Param,4,0,0
continuous_sudden,401,Param,4,1,1
continuous_sudden,401,Param,4,2,2
continuous_sudden,401,Param,4,3,1
continuous_sudden,401,Param,4,4,0
continuous_sudden,401,Param,5,0,0
continuous_sudden,401,Param,5,1,2
continuous_sudden,401,Param,5,2,2
continuous_sudden,401,Param,5,3,1
continuous_sudden,401,Param,5,4,0
continuous_sudden,401,State,0,0,1
continuous_sudden,401,State,0,1,2
continuous_sudden,401,State,0,2,0
continuous_sudden,401,State,0,3,1
continuous_sudden,401,State,0,4,2
continuous_sudden,401,State,1,0,1
continuous_sudden,401,State,1,1,2
continuous_sudden,401,State,1,2,0
continuous_sudden,401,State,1,3,1
continuous_sudden,401,State,1,4,2
continuous_sudden,401,State,2,0,1
continuous_sudden,401,State,2,1,2
continuous_sudden,401,State,2,2,0
continuous_sudden,401,State,2,3,1
continuous_sudden,401,State,2,4,2
continuous_sudden,401,State,3,0,1
continuous_sudden,401,State,3,1,2
continuous_sudden,401,State,3,2,0
continuous_sudden,401,State,3,3,1
continuous_sudden,401,State,3,4,2
continuous_sudden,401,State,4,0,1
continuous_sudden,401,State,4,1,1
continuous_sudden,401,State,4,2,0
continuous_sudden,401,State,4,3,1
continuous_sudden,401,State,4,4,2
continuous_sudden,401,State,5,0,1
continuous_sudden,401,State,5,1,0
continuous_sudden,401,State,5,2,0
continuous_sudden,401,State,5,3,1
continuous_sudden,401,State,5,4,2
continuous_sudden,401,Combined,0,0,1
continuous_sudden,401,Combined,0,1,2
continuous_sudden,401,Combined,0,2,0
continuous_sudden,401,Combined,0,3,1
continuous_sudden,401,Combined,0,4,2
continuous_sudden,401,Combined,1,0,1
continuous_sudden,401,Combined,1,1,2
continuous_sudden,401,Combined,1,2,0
continuous_sudden,401,Combined,1,3,1
continuous_sudden,401,Combined,1,4,2
continuous_sudden,401,Combined,2,0,1
continuous_sudden,401,Combined,2,1,2
continuous_sudden,401,Combined,2,2,0
continuous_sudden,401,Combined,2,3,1
continuous_sudden,401,Combined,2,4,2
continuous_sudden,401,Combined,3,0,1
continuous_sudden,401,Combined,3,1,2
continuous_sudden,401,Combined,3,2,0
continuous_sudden,401,Combined,3,3,1
continuous_sudden,401,Combined,3,4,2
continuous_sudden,401,Combined,4,0,1
continuous_sudden,401,Combined,4,1,1
continuous_sudden,401,Combined,4,2,0
continuous_sudden,401,Combined,4,3,1
continuous_sudden,401,Combined,4,4,2
continuous_sudden,401,Combined,5,0,1
continuous_sudden,401,Combined,5,1,0
continuous_sudden,401,Combined,5,2,0
continuous_sudden,401,Combined,5,3,1
continuous_sudden,401,Combined,5,4,2
