regime,seed,method,snapshot_t,delta,gain_vs_cold
gradual,203,State,8,0.16550692809662704,0.07616741470051193
gradual,203,Combined,8,0.16550692809662704,0.18006996556732902
gradual,203,Param,9,0.06431758203739493,0.03744679875414855
gradual,203,State,9,0.06431758203739493,0.07891594362710387
gradual,203,Combined,9,0.06431758203739493,0.18
gradual,204,Param,1,0.059148980794576915,0.029209059609868415
gradual,204,State,1,0.059148980794576915,0.029209059609868415
gradual,204,Combined,1,0.059148980794576915,0.18
gradual,204,Param,2,0.04639708242502142,0.0706236094758983
gradual,204,State,2,0.04639708242502142,0.0706236094758983
gradual,204,Combined,2,0.04639708242502142,0.18
gradual,204,Param,3,0.0448791500690961,0.06473893042440607
gradual,204,State,3,0.0448791500690961,0.06473893042440607
gradual,204,Combined,3,0.0448791500690961,0.18
gradual,204,Param,4,0.03511265319677388,0.07187372930076227
gradual,204,State,4,0.03511265319677388,0.07187372930076227
gradual,204,Combined,4,0.03511265319677388,0.18
gradual,204,Param,5,0.06768430332036114,0.07646345504594576
gradual,204,State,5,0.06768430332036114,0.07646345504594576
gradual,204,Combined,5,0.06768430332036114,0.17740919166833555
gradual,204,Param,6,0.06545602645290825,0.038256338179787644
gradual,204,State,6,0.06545602645290825,0.038256338179787644
gradual,204,Combined,6,0.06545602645290825,0.14061366624002042
gradual,204,Param,7,0.09710792321470613,0.06
gradual,204,State,7,0.09710792321470613,0.06
gradual,204,Combined,7,0.09710792321470613,0.12
gradual,204,Param,8,0.1302764153841986,0.03984737168722263
gradual,204,State,8,0.1302764153841986,0.03984737168722263
gradual,204,Combined,8,0.1302764153841986,0.18
gradual,204,Param,9,0.05471321570805206,0.09023501778310218
gradual,204,State,9,0.05471321570805206,0.09023501778310218
gradual,204,Combined,9,0.05471321570805206,0.16661239792885435
sudden,301,Param,1,0.03732596919414329,0.007523587132610393
sudden,301,State,1,0.03732596919414329,0.007523587132610393
sudden,301,Combined,1,0.03732596919414329,0.18
sudden,301,Param,2,0.10967078902544605,0.12
sudden,301,State,2,0.10967078902544605,0.12
sudden,301,Combined,2,0.10967078902544605,0.18
sudden,301,Param,3,0.053668669959771244,0.06
sudden,301,State,3,0.053668669959771244,0.06
sudden,301,Combined,3,0.053668669959771244,0.18
sudden,301,Param,4,0.07934997440770289,0.06
sudden,301,State,4,0.07934997440770289,0.06
sudden,301,Combined,4,0.07934997440770289,0.18
sudden,301,Param,5,0.25631107727203306,-0.006844896193770045
sudden,301,State,5,0.25631107727203306,0.06360731559449889
sudden,301,Combined,5,0.25631107727203306,0.09416219742918258
sudden,301,Param,6,0.03073599119977655,0.09166735115000388
sudden,301,State,6,0.03073599119977655,0.08612340126876356
sudden,301,Combined,6,0.03073599119977655,0.10650381319638325
sudden,301,Param,7,0.08933747705575722,0.06
sudden,301,State,7,0.08933747705575722,0.09634963623926938
sudden,301,Combined,7,0.08933747705575722,0.12
sudden,301,Param,8,0.06812106286761242,0.05069392932041608
sudden,301,State,8,0.06812106286761242,0.054633971758141414
sudden,301,Combined,8,0.06812106286761242,0.11463397175814141
sudden,301,Param,9,0.03823694700722908,0.05782697033078982
sudden,301,State,9,0.03823694700722908,0.06
sudden,301,Combined,9,0.03823694700722908,0.1178269703307898
sudden,302,Param,1,0.09967533302086426,0.00803541319727974
