regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
gradual,205,Param,Parameter Transfer,2.3115343702468847,0.8115343702468846,5.0,1.0,0.0032958984375,0.46244211990367373,101.5,112.25,57.48964588204399
gradual,205,State,State Warm Start,0.0,0.0,0.0,1.0,0.8948160807291666,0.033009652271720126,101.5,111.91666666666667,53.82695481181145
gradual,205,Combined,Combined,0.0,0.0,0.0,1.0,0.9146728515625,0.02607680063589635,101.5,111.91666666666667,39.40552098629996
gradual,206,Param,Parameter Transfer,0.6587143061065834,0.11871430610658354,1.8,1.0,0.0059814453125,0.46918683731190897,102.5,110.5,48.14572702534497
gradual,206,State,State Warm Start,0.11871430610658354,0.11871430610658354,0.0,1.0,0.9023844401041666,0.027793964756421197,102.5,111.0,47.449425523635
gradual,206,Combined,Combined,0.11871430610658354,0.11871430610658354,0.0,1.0,0.8961995442708334,0.029696859339571002,102.5,111.0,47.86451227078214
