regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.18,0.008446371477248053,0.0,1.0,0.98291015625,24,2048,102,112,9.579909635940567
stationary,101,Cold,4,0.0,0.0,0.0,0.0,0.3965724635828973,0.15657246358289736,0.8,0.0,0.4669884925672142,0.0,1.0,0.00341796875,24,2048,102,112,8.84347315505147
stationary,101,Param,4,0.0,0.0,0.0,0.0,0.5165724635828973,0.15657246358289736,1.2,0.0,0.49007048030649697,0.0,1.0,0.00244140625,24,2048,102,112,16.103162846993655
stationary,101,State,4,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.003636006137300885,0.0,1.0,0.9873046875,24,2048,102,113,23.891329327132553
stationary,101,Combined,4,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.00746448292166775,0.0,1.0,0.982421875,24,2048,102,112,15.721179265994579
stationary,101,Cold,5,0.0,0.4503548262385949,0.2103548262385949,0.8,0.8469272898214922,0.36692728982149225,1.6,0.0,0.4505268712083345,0.4503548262385949,1.0,0.99951171875,23,2048,102,113,17.826379371108487
stationary,101,Param,5,0.0,0.29324464598295796,0.113244645982958,0.5999999999999999,0.8098171095658553,0.26981710956585536,1.7999999999999998,0.15711018025563694,0.48884947766734876,0.29324464598295796,1.0,0.00244140625,24,2048,102,113,12.449958957964554
stationary,101,State,5,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.4503548262385949,0.0014123385037919606,0.0,1.0,0.9951171875,24,2048,102,113,22.013737231958658
stationary,101,Combined,5,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.4503548262385949,0.005073735548057624,0.0,1.0,0.98583984375,24,2048,102,112,17.747051985003054
stationary,101,Cold,6,0.0,0.12,0.0,0.3999999999999999,0.9669272898214922,0.36692728982149225,2.0,0.0,0.4787472591881938,0.12,1.0,0.02001953125,24,2048,102,113,12.290726411156356
stationary,101,Param,6,0.0,0.06,0.0,0.19999999999999996,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.06,0.5261128358687879,0.06,1.0,0.0029296875,24,2048,102,113,19.648200137075037
stationary,101,State,6,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.12,0.0002310251860524212,0.0,1.0,0.9990234375,20,2048,102,113,7.896504383068532
stationary,101,Combined,6,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.12,0.0027884582608245305,0.0,1.0,0.99169921875,24,2048,102,112,16.723183984169737
stationary,101,Cold,7,0.0,0.0,0.0,0.0,0.9669272898214922,0.36692728982149225,2.0,0.0,0.5393445294501893,0.0,1.0,0.00244140625,24,2048,102,113,13.714825390838087
stationary,101,Param,7,0.0,0.0,0.0,0.0,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.5353740900339378,0.0,1.0,0.00390625,24,2048,102,113,20.296587645076215
stationary,101,State,7,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.0038991956565508873,0.0,1.0,0.9873046875,24,2048,102,113,23.946617162087932
stationary,101,Combined,7,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.00505741500353919,0.0,1.0,0.98876953125,24,2048,102,112,16.587290548020974
stationary,101,Cold,8,0.0,0.0,0.0,0.0,0.9669272898214922,0.36692728982149225,2.0,0.0,0.4940249250353912,0.0,1.0,0.0166015625,24,2048,102,113,23.0347410060931
stationary,101,Param,8,0.0,0.0,0.0,0.0,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.43195708478297046,0.0,1.0,0.0419921875,24,2048,102,113,38.72361578908749
stationary,101,State,8,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.004524710124057177,0.0,1.0,0.98828125,24,2048,102,113,13.625333599047735
stationary,101,Combined,8,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.0026020455797751063,0.0,1.0,0.99267578125,24,2048,102,112,17.290271618869156
stationary,101,Cold,9,0.0,0.0,0.0,0.0,0.9669272898214922,0.36692728982149225,2.0,0.0,0.5537029903475558,0.0,1.0,0.00146484375,24,2048,102,112,17.044447542866692
stationary,101,Param,9,0.0,0.0,0.0,0.0,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.5023199017232642,0.0,1.0,0.0107421875,24,2048,102,112,18.383703900966793
stationary,101,State,9,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.3132387726723484,0.0,1.0,0.14892578125,24,2048,102,113,11.485006434842944
stationary,101,Combined,9,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.003201202457579971,0.0,1.0,0.99072265625,24,2048,102,112,29.523799913935363
