method,time_steps,final_cost,final_interference,final_switches
Cold,10,1.8699082041819983,0.6699082041819983,4.0
Param,10,1.2064480134993327,0.6664480134993328,1.7999999999999998
State,10,1.1641037979056963,0.6841037979056963,1.5999999999999999
Combined,10,0.6675582575011385,0.6675582575011385,0.0
Greedy,10,0.7994725518484459,0.6194725518484459,0.6
Local Search,10,0.7994725518484459,0.6194725518484459,0.6
Offline DP,10,0.6675582575011385,0.6675582575011385,0.0
