regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,State,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4046054317908778,0.0,1.0,0.0078125,6,256,102,113,1.197684417013079
stationary,101,Combined,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.004394321536856971,0.0,1.0,0.98046875,6,256,102,113,1.040744750003796
stationary,101,Cold,8,0.0,0.0,0.0,0.0,0.6447936186493335,0.3447936186493334,1.0,0.0,0.49504634277841364,0.0,1.0,0.01171875,6,256,102,113,1.2212616670294665
stationary,101,Param,8,0.0,0.06,0.0,0.2,0.3142203605112739,0.19422036051127387,0.4,-0.06,0.5738042781197382,0.06,1.0,0.0078125,6,256,102,113,1.169936874997802
stationary,101,State,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030302503816804546,0.0,1.0,0.9921875,6,256,102,113,1.2100159999681637
stationary,101,Combined,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002675975317212663,0.0,1.0,0.9921875,6,256,102,113,1.039809583046008
stationary,101,Cold,9,0.0,0.18,0.0,0.6000000000000001,0.8247936186493334,0.3447936186493334,1.6,0.0,0.5274920302781109,0.18,1.0,0.0078125,6,256,102,112,1.239938291022554
stationary,101,Param,9,0.0,0.0,0.0,0.0,0.3142203605112739,0.19422036051127387,0.4,0.18,0.5183467258387625,0.0,1.0,0.00390625,6,256,102,112,1.1655207090079784
stationary,101,State,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.025653107994248903,0.0,1.0,0.921875,6,256,102,113,1.3957242920296267
stationary,101,Combined,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.004675506239752752,0.0,1.0,0.984375,6,256,102,113,1.0603756249765866
stationary,101,Cold,10,0.0,0.15711018025563694,0.09711018025563695,0.19999999999999996,0.9819037989049704,0.44190379890497034,1.8,0.0,0.4969086037152152,0.15711018025563694,1.0,0.04296875,6,256,102,112,1.2476656250073574
stationary,101,Param,10,0.0,0.18,0.0,0.6,0.4942203605112739,0.19422036051127387,1.0,-0.02288981974436305,0.5401231115217954,0.18,1.0,0.01953125,6,256,102,112,1.1890307909925468
stationary,101,State,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.011945037158115785,0.0,1.0,0.96484375,6,256,102,113,1.221336540998891
stationary,101,Combined,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.006280013430001901,0.0,1.0,0.9765625,6,256,102,113,1.0881557500106283
stationary,101,Cold,11,0.0,0.09711018025563693,0.09711018025563689,0.0,1.0790139791606073,0.5390139791606072,1.8,0.0,0.4747543009899284,0.09711018025563693,1.0,0.0078125,6,256,102,113,1.2251394169870764
stationary,101,Param,11,0.0,0.173244645982958,0.113244645982958,0.19999999999999996,0.6674650064942319,0.30746500649423186,1.2,-0.07613446572732106,0.5576746537346816,0.173244645982958,1.0,0.00390625,6,256,102,113,1.2334563750191592
stationary,101,State,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09711018025563693,0.0334785847480324,0.0,1.0,0.88671875,6,256,102,113,1.1962139579700306
stationary,101,Combined,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09711018025563693,0.009669673863207273,0.0,1.0,0.97265625,6,256,102,113,1.0839947499916889
gradual,201,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.1333025000058115
gradual,201,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.1333025000058115
gradual,201,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.1333025000058115
gradual,201,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.1333025000058115
gradual,201,Cold,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240071027759895,0.0,1.0,0.0078125,6,256,102,113,1.1492537920130417
gradual,201,Param,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5398936553420143,0.0,1.0,0.015625,6,256,102,113,1.1594178749946877
gradual,201,State,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173297121044628,0.0,1.0,0.95703125,6,256,102,113,1.052040082984604
gradual,201,Combined,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047861912511791074,0.0,1.0,0.8359375,6,256,102,113,1.1604807499679737
gradual,201,Cold,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235992622350023,0.0,1.0,0.015625,6,256,102,113,1.1595247500226833
