method,snapshot_t,graph_change,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches
Combined,8,0.04167516454634406,0.1383529695451586,0.13835296954515863,0.0,0.5324961261424984,0.5324961261424984,0.0
Greedy,8,0.04167516454634406,0.13053288836775823,0.13053288836775823,0.0,0.6528049617126359,0.4728049617126359,0.6
Local Search,8,0.04167516454634406,0.13053288836775823,0.13053288836775823,0.0,0.6528049617126359,0.4728049617126359,0.6
Offline DP,8,0.04167516454634406,0.1383529695451586,0.13835296954515863,0.0,0.5324961261424984,0.5324961261424984,0.0
Cold,9,0.037613628826601436,0.2320131160046221,0.1720131160046221,0.20000000000000018,1.8699082041819983,0.6699082041819983,4.0
Param,9,0.037613628826601436,0.1768840547867657,0.11688405478676567,0.19999999999999996,1.2064480134993327,0.6664480134993328,1.7999999999999998
State,9,0.037613628826601436,0.1768840547867657,0.11688405478676567,0.19999999999999996,1.1641037979056963,0.6841037979056963,1.5999999999999999
Combined,9,0.037613628826601436,0.13506213135864015,0.1350621313586401,0.0,0.6675582575011385,0.6675582575011385,0.0
Greedy,9,0.037613628826601436,0.14666759013581,0.14666759013580993,0.0,0.7994725518484459,0.6194725518484459,0.6
Local Search,9,0.037613628826601436,0.14666759013581,0.14666759013580993,0.0,0.7994725518484459,0.6194725518484459,0.6
Offline DP,9,0.037613628826601436,0.13506213135864015,0.1350621313586401,0.0,0.6675582575011385,0.6675582575011385,0.0
