regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
stationary,103,Param,Parameter Transfer,1.0355572025442974,0.25555720254429737,2.6000000000000005,1.0,0.0943603515625,0.4507132907780554,102.0,112.66666666666667,56.384733432903886
stationary,103,State,State Warm Start,0.0,0.0,0.0,1.0,0.801513671875,0.07325345238573956,102.0,113.0,48.50466809608042
stationary,103,Combined,Combined,2.6400000000000006,0.0,8.799999999999999,1.0,0.9160563151041666,0.24797095879711675,102.0,113.0,43.74339474644512
stationary,104,Param,Parameter Transfer,2.041162609694215,0.421162609694215,5.3999999999999995,1.0,0.0780029296875,0.4637273051361026,102.0,112.5,47.68231139751151
stationary,104,State,State Warm Start,0.37602940077972163,0.25602940077972164,0.4,1.0,0.6970621744791666,0.05939324186532304,102.0,112.0,46.57298905448988
stationary,104,Combined,Combined,0.43783844104816944,0.31783844104816944,0.4,1.0,0.8241373697916666,0.05181144361146403,102.0,112.0,47.08119199378416
stationary,105,Param,Parameter Transfer,0.8542203605112739,0.19422036051127387,2.2,1.0,0.004923502604166667,0.47593032356683834,102.0,112.66666666666667,48.4548078533262
stationary,105,State,State Warm Start,0.0,0.0,0.0,1.0,0.8286539713541666,0.0546773218584965,102.0,113.0,47.88793264236301
stationary,105,Combined,Combined,1.9799999999999995,0.0,6.599999999999999,1.0,0.9185791015625,0.19303004341711996,102.0,112.58333333333333,39.58886683220044
stationary,106,Param,Parameter Transfer,1.0809280843766544,0.3609280843766545,2.4000000000000004,1.0,0.090087890625,0.4278089404449474,102.0,112.5,47.89557245001197
stationary,106,State,State Warm Start,0.286489291965916,0.226489291965916,0.2,1.0,0.822509765625,0.04524711539405837,102.0,112.08333333333333,48.48091241065413
stationary,106,Combined,Combined,0.39973393794887396,0.33973393794887397,0.2,1.0,0.8271891276041666,0.052500093755775384,102.0,112.08333333333333,47.84891316853464
