regime,seed,method,lambda_switch,cumulative_switches,cumulative_interference,cumulative_cost
stationary,101,Cold,0.3,1.2,0.5097120446182559,0.869712044618256
stationary,101,Combined,0.3,0.2,0.09711018025563693,0.15711018025563694
gradual,201,Cold,0.3,2.2,0.8561758420211735,1.5161758420211733
gradual,201,Combined,0.3,0.0,1.015344980415957,1.015344980415957
sudden,304,Cold,0.3,3.0000000000000004,0.36326769521086627,1.2632676952108661
sudden,304,Combined,0.3,0.0,0.6381076338572409,0.6381076338572409
continuous_sudden,401,Cold,0.3,1.7999999999999998,0.7558522096806081,1.295852209680608
continuous_sudden,401,Combined,0.3,0.4,0.29233053980649926,0.41233053980649925
