regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.264720082981512
stationary,101,Param,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.264720082981512
stationary,101,State,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.264720082981512
stationary,101,Combined,0,0.0,0.09711018025563693,0.09711018025563693,0.0,0.09711018025563693,0.09711018025563693,0.0,0.0,0.1860509448219598,0.09711018025563693,1.0,0.03125,5,32,102,112,1.264720082981512
stationary,101,Cold,1,0.0,0.21711018025563694,0.09711018025563693,0.4,0.3142203605112739,0.19422036051127387,0.4,0.0,0.5336183721309049,0.21711018025563694,1.0,0.03125,5,32,102,113,1.145441708038561
stationary,101,Param,1,0.0,0.21844702228866042,0.15844702228866042,0.2,0.31555720254429737,0.25555720254429737,0.2,-0.0013368420330234776,0.5369997011199369,0.21844702228866042,1.0,0.03125,5,32,102,113,1.093472708016634
stationary,101,State,1,0.0,0.06,0.0,0.2,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.19997290572459142,0.06,1.0,0.03125,5,32,102,112,0.9575945420074277
stationary,101,Combined,1,0.0,0.06,0.0,0.2,0.15711018025563694,0.09711018025563693,0.2,0.15711018025563694,0.11671072877933845,0.06,1.0,0.03125,5,32,102,112,1.109607458987739
stationary,101,Cold,2,0.0,0.21891922052408472,0.15891922052408472,0.20000000000000007,0.5331395810353586,0.3531395810353586,0.6000000000000001,0.0,0.5086431065636103,0.21891922052408472,1.0,0.0625,5,32,102,113,1.1732698749983683
stationary,101,Param,2,0.0,0.233244645982958,0.11324464598295803,0.4000000000000001,0.5488018485272553,0.3688018485272554,0.6000000000000001,-0.014325425458873275,0.5264680203106972,0.233244645982958,1.0,0.03125,5,32,102,113,1.124018292000983
stationary,101,State,2,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21891922052408472,0.05918436633412637,0.0,1.0,0.78125,5,32,102,113,1.0160070830024779
stationary,101,Combined,2,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21891922052408472,0.01720659027486572,0.0,1.0,0.9375,5,32,102,113,1.1262362910201773
stationary,101,Cold,3,0.0,0.12,0.0,0.3999999999999999,0.6531395810353586,0.3531395810353586,1.0,0.0,0.3029168030102286,0.12,1.0,0.28125,5,32,102,113,1.156678416999057
stationary,101,Param,3,0.0,0.233244645982958,0.11324464598295803,0.3999999999999999,0.7820464945102134,0.4820464945102134,1.0,-0.113244645982958,0.5451879425425458,0.233244645982958,1.0,0.03125,5,32,102,113,1.1436710830312222
stationary,101,State,3,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.12,0.18326630916128214,0.0,1.0,0.375,5,32,102,113,1.0253862920217216
stationary,101,Combined,3,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.12,0.05009440858339602,0.0,1.0,0.875,5,32,102,113,1.1195549999829382
stationary,101,Cold,4,0.0,0.0,0.0,0.0,0.6531395810353586,0.3531395810353586,1.0,0.0,0.47593909400890955,0.0,1.0,0.03125,5,32,102,112,1.1621905409847386
stationary,101,Param,4,0.0,0.21711018025563694,0.09711018025563689,0.3999999999999999,0.9991566747658502,0.5791566747658503,1.4,-0.21711018025563694,0.502116169289955,0.21711018025563694,1.0,0.03125,5,32,102,112,1.129336207988672
stationary,101,State,4,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.0,0.05474390734094606,0.0,1.0,0.84375,5,32,102,113,1.1574289170093834
stationary,101,Combined,4,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.0,0.021821024685932874,0.0,1.0,0.90625,5,32,102,113,1.121833708952181
stationary,101,Cold,5,0.0,0.21657246358289736,0.15657246358289734,0.19999999999999996,0.869712044618256,0.5097120446182559,1.2,0.0,0.5164075901785193,0.21657246358289736,1.0,0.03125,5,32,102,113,1.1185848750174046
stationary,101,Param,5,0.0,0.39711018025563694,0.09711018025563689,1.0,1.3962668550214872,0.6762668550214872,2.4,-0.18053771667273957,0.5007935016911624,0.39711018025563694,1.0,0.03125,5,32,102,113,1.0415247090277262
stationary,101,State,5,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21657246358289736,0.16949709094757479,0.0,1.0,0.46875,5,32,102,113,1.2313481669989415
stationary,101,Combined,5,0.0,0.0,0.0,0.0,0.15711018025563694,0.09711018025563693,0.2,0.21657246358289736,0.055899456474863954,0.0,1.0,0.84375,5,32,102,113,1.1671665420290083
gradual,201,Cold,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.15657246358289736,0.15657246358289736,1.0,1.0,5,32,102,112,1.2828186670085415
gradual,201,Param,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.15657246358289736,0.15657246358289736,1.0,1.0,5,32,102,112,1.2828186670085415
gradual,201,State,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.15657246358289736,0.15657246358289736,1.0,1.0,5,32,102,112,1.2828186670085415
gradual,201,Combined,0,0.0,0.15657246358289736,0.15657246358289736,0.0,0.15657246358289736,0.15657246358289736,0.0,0.0,0.15657246358289736,0.15657246358289736,1.0,1.0,5,32,102,112,1.2828186670085415
gradual,201,Cold,1,0.05790101207497034,0.28902531263136066,0.16902531263136064,0.4,0.445597776214258,0.325597776214258,0.4,0.0,0.5437830745868193,0.28902531263136066,1.0,0.03125,5,32,102,113,1.1332187919761054
gradual,201,Param,1,0.05790101207497034,0.24,0.0,0.8,0.3965724635828973,0.15657246358289736,0.8,0.049025312631360674,0.5589475156437989,0.24,1.0,0.03125,5,32,102,113,1.0957105419947766
