method,snapshot_t,user,channel
Offline DP,3,4,1
Offline DP,4,0,0
Offline DP,4,1,1
Offline DP,4,2,2
Offline DP,4,3,0
Offline DP,4,4,1
Offline DP,5,0,0
Offline DP,5,1,1
Offline DP,5,2,2
Offline DP,5,3,0
Offline DP,5,4,1
Offline DP,6,0,0
Offline DP,6,1,1
Offline DP,6,2,2
Offline DP,6,3,0
Offline DP,6,4,1
Offline DP,7,0,0
Offline DP,7,1,1
Offline DP,7,2,2
Offline DP,7,3,0
Offline DP,7,4,1
Offline DP,8,0,0
Offline DP,8,1,1
Offline DP,8,2,2
Offline DP,8,3,0
Offline DP,8,4,1
Offline DP,9,0,0
Offline DP,9,1,1
Offline DP,9,2,2
Offline DP,9,3,0
Offline DP,9,4,1
